timestamp;attempt;count;mean;var
2024-12-31 16:48:36;1;4;0.25152;0.01612
2024-12-31 16:48:38;2;4;0.23742;0.02286
2024-12-31 16:48:40;3;4;0.20889;0.01413
2024-12-31 16:48:41;4;4;0.21880;0.01325
2024-12-31 16:48:42;5;4;0.20941;0.00727
2024-12-31 16:48:44;6;4;0.18728;0.00639
2024-12-31 16:48:45;7;4;0.19426;0.00329
2024-12-31 16:48:46;8;4;0.19604;0.00673
